2019-08-08 14:05:06,004 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker[330] = Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$889bfefa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-08 14:05:06,328 [main] INFO     c.o.h.h.HoneybadgerSystem2Application[646] = No active profile set, falling back to default profiles: default
2019-08-08 14:05:06,796 [main] INFO      o.s.cloud.context.scope.GenericScope[295] = BeanFactory id=ae83fc4a-a370-3264-af87-01bfb4544916
2019-08-08 14:05:06,817 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker[330] = Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$889bfefa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-08 14:05:07,036 [main] INFO   o.s.b.w.embedded.tomcat.TomcatWebServer[90] = Tomcat initialized with port(s): 10001 (http)
2019-08-08 14:05:07,049 [main] INFO  o.apache.coyote.http11.Http11NioProtocol[173] = Initializing ProtocolHandler ["http-nio-10001"]
2019-08-08 14:05:07,058 [main] INFO  org.apache.catalina.core.StandardService[173] = Starting service [Tomcat]
2019-08-08 14:05:07,059 [main] INFO   org.apache.catalina.core.StandardEngine[173] = Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-08 14:05:07,189 [main] INFO        o.a.c.c.C.[Tomcat].[localhost].[/][173] = Initializing Spring embedded WebApplicationContext
2019-08-08 14:05:07,190 [main] INFO             o.s.web.context.ContextLoader[283] = Root WebApplicationContext: initialization completed in 849 ms
2019-08-08 14:05:07,274 [main] WARN      c.n.c.sources.URLConfigurationSource[121] = No URLs will be polled as dynamic configuration sources.
2019-08-08 14:05:07,274 [main] INFO      c.n.c.sources.URLConfigurationSource[122] = To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-08-08 14:05:07,279 [main] WARN      c.n.c.sources.URLConfigurationSource[121] = No URLs will be polled as dynamic configuration sources.
2019-08-08 14:05:07,279 [main] INFO      c.n.c.sources.URLConfigurationSource[122] = To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-08-08 14:05:07,423 [main] INFO   o.s.s.concurrent.ThreadPoolTaskExecutor[171] = Initializing ExecutorService 'applicationTaskExecutor'
2019-08-08 14:05:07,766 [main] INFO  o.s.s.concurrent.ThreadPoolTaskScheduler[171] = Initializing ExecutorService
2019-08-08 14:05:08,041 [main] INFO  o.apache.coyote.http11.Http11NioProtocol[173] = Starting ProtocolHandler ["http-nio-10001"]
2019-08-08 14:05:08,151 [main] INFO   o.s.b.w.embedded.tomcat.TomcatWebServer[202] = Tomcat started on port(s): 10001 (http) with context path ''
2019-08-08 14:05:08,203 [main] INFO   o.s.c.a.n.registry.NacosServiceRegistry[64] = nacos registry, springcloud-nacos-discovery-consumer 10.180.109.192:10001 register finished
2019-08-08 14:05:08,206 [main] INFO     c.o.h.h.HoneybadgerSystem2Application[59] = Started HoneybadgerSystem2Application in 3.377 seconds (JVM running for 4.943)
